No.,Track Name,Artist,Year Released,Album:,Spotify Link:,Youtube Link:
13-04,Paradise City,Guns N' Roses,1987,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Paradise%20City%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Paradise%20City%20Guns%20N'%20Roses%20music%20video
13-05,Knockin' On Heaven's Door,Guns N' Roses,1990,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Knockin'%20On%20Heaven's%20Door%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Knockin'%20On%20Heaven's%20Door%20Guns%20N'%20Roses%20music%20video
13-06,Civil War,Guns N' Roses,1990,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Civil%20War%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Civil%20War%20Guns%20N'%20Roses%20music%20video
13-07,You Could Be Mine,Guns N' Roses,1991,Guns N' Roses Greatest Hits,https://open.spotify.com/search/You%20Could%20Be%20Mine%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=You%20Could%20Be%20Mine%20Guns%20N'%20Roses%20music%20video
13-08,Don't Cry (Original),Guns N' Roses,1991,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Don't%20Cry%20(Original)%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Don't%20Cry%20(Original)%20Guns%20N'%20Roses%20music%20video
13-09,November Rain,Guns N' Roses,1991,Guns N' Roses Greatest Hits,https://open.spotify.com/search/November%20Rain%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=November%20Rain%20Guns%20N'%20Roses%20music%20video
13-10,Live And Let Die,Guns N' Roses,1991,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Live%20And%20Let%20Die%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Live%20And%20Let%20Die%20Guns%20N'%20Roses%20music%20video
13-11,Yesterdays,Guns N' Roses,1992,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Yesterdays%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Yesterdays%20Guns%20N'%20Roses%20music%20video
13-12,Ain't It Fun,Guns N' Roses,1993,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Ain't%20It%20Fun%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Ain't%20It%20Fun%20Guns%20N'%20Roses%20music%20video
13-13,Since I Don't Have You,Guns N' Roses,1994,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Since%20I%20Don't%20Have%20You%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Since%20I%20Don't%20Have%20You%20Guns%20N'%20Roses%20music%20video
13-14,Sympathy For The Devil,Guns N' Roses,1994,Guns N' Roses Greatest Hits,https://open.spotify.com/search/Sympathy%20For%20The%20Devil%20Guns%20N'%20Roses,https://www.youtube.com/results?search_query=Sympathy%20For%20The%20Devil%20Guns%20N'%20Roses%20music%20video
